CMD                             PID
/opt/microsoft/msedge/msedg   69949
/opt/microsoft/msedge/msedg   69949
/opt/microsoft/msedge/msedg   69949
/opt/microsoft/msedge/msedg   69949
/opt/microsoft/msedge/msedg   69949
/opt/microsoft/msedge/msedg   69949
/opt/microsoft/msedge/msedg   69949
/opt/microsoft/msedge/msedg   69949
[kworker/u16:2-btrfs-endio-   76916
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80448
/opt/discord-ptb/DiscordPTB   80459
/opt/discord-ptb/DiscordPTB   80460
/opt/discord-ptb/DiscordPTB   80462
/opt/discord-ptb/chrome_cra   80476
/opt/discord-ptb/chrome_cra   80476
/opt/discord-ptb/chrome_cra   80476
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80499
/opt/discord-ptb/DiscordPTB   80501
/opt/discord-ptb/DiscordPTB   80501
/opt/discord-ptb/DiscordPTB   80501
/opt/discord-ptb/DiscordPTB   80501
/opt/discord-ptb/DiscordPTB   80501
/opt/discord-ptb/DiscordPTB   80501
